"# Renewables.ninja Weather (hourly data, 1980-2019) - Somalia - ninja_weather_country_SO_merra-2_population_weighted.csv - Version: 1.3 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://renewables.ninja and https://doi.org/10.1175/JCLI-D-16-0758.1",,,,,,,,
"# Units: time in UTC, other columns are average weather variables, population weighted. precipitation in mm/hour (PRECTOTLAND in MERRA-2). temperature at 2 metres above ground in degrees C (T2M in MERRA-2). irradiance at ground level (_surface) and top of atmosphere (_toa) in W/m^2 (SWGDN and SWTDN in MERRA-2). snowfall in mm/hour (PRECSNOLAND in MERRA-2). snow_mass in kg/m^2 (SNOMAS in MERRA-2). cloud_cover as a fraction [0,1] (CLDTOT in MERRA-2). air_density at ground level in kg/m^3 (RHOA in MERRA-2).",,,,,,,,
time,precipitation,temperature,irradiance_surface,irradiance_toa,snowfall,snow_mass,cloud_cover,air_density
2019-01-01 00:00,0.0043,23.358,0,0,0,0,0.6674,1.1545
2019-01-01 01:00,0.007,23.159,0,0,0,0,0.6634,1.1559
2019-01-01 02:00,0.0095,22.983,0.0083,0.0518,0,0,0.613,1.1572
2019-01-01 03:00,0.0107,23.281,62.1334,139.6053,0,0,0.5359,1.1581
2019-01-01 04:00,0.0038,24.987,278.3868,460.8025,0,0,0.3934,1.1556
2019-01-01 05:00,4.00E-04,27.263,524.3336,751.3417,0,0,0.3265,1.1502
2019-01-01 06:00,9.00E-04,29.583,730.3467,988.3924,0,0,0.2891,1.1435
2019-01-01 07:00,0.001,31.511,876.0878,1155.8044,0,0,0.2438,1.137
2019-01-01 08:00,6.00E-04,32.927,949.601,1242.0898,0,0,0.1706,1.1316
2019-01-01 09:00,5.00E-04,33.847,947.8866,1241.518,0,0,0.1228,1.1271
2019-01-01 10:00,5.00E-04,34.258,866.3914,1153.9052,0,0,0.1174,1.1238
2019-01-01 11:00,7.00E-04,34.166,713.1035,985.4677,0,0,0.139,1.122
2019-01-01 12:00,8.00E-04,33.592,506.007,747.512,0,0,0.1816,1.122
2019-01-01 13:00,8.00E-04,32.513,271.8996,456.2976,0,0,0.2299,1.1238
2019-01-01 14:00,6.00E-04,30.819,61.5536,140.2881,0,0,0.268,1.1274
2019-01-01 15:00,3.00E-04,28.908,0.1714,0.802,0,0,0.2364,1.1322
2019-01-01 16:00,2.00E-04,27.959,0,0,0,0,0.2084,1.1366
2019-01-01 17:00,1.00E-04,27.19,0,0,0,0,0.2325,1.14
2019-01-01 18:00,1.00E-04,26.545,0,0,0,0,0.2668,1.1424
2019-01-01 19:00,2.00E-04,26.003,0,0,0,0,0.2895,1.1442
2019-01-01 20:00,6.00E-04,25.533,0,0,0,0,0.3169,1.1456
